region,activity,sex,count
Луганська,"Професійна, наукова та технічна діяльність",Жінки,43
Луганська,Переробна промисловість,Жінки,6
Львівська,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Жінки,304
Львівська,Добувна промисловість і розроблення кар'єрів,Жінки,22
Львівська,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Жінки,1684
Львівська,"Сільське господарство, лісове господарство та рибне господарство",Жінки,335
Львівська,Інформація та телекомунікації,Чоловіки,862
Львівська,Переробна промисловість,Чоловіки,2185
Львівська,"Постачання електроенергії, газу, пари та кондиційованого повітря",Чоловіки,204
Львівська,Будівництво,Жінки,438
Львівська,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Чоловіки,3835
Львівська,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Чоловіки,851
Львівська,Фінансова та страхова діяльність,Чоловіки,107
Львівська,"Постачання електроенергії, газу, пари та кондиційованого повітря",Жінки,48
Львівська,Тимчасове розміщування й організація харчування,Жінки,366
Львівська,Інформація та телекомунікації,Жінки,419
Львівська,"Водопостачання; каналізація, поводження з відходами",Жінки,24
Львівська,Фінансова та страхова діяльність,Жінки,48
Львівська,Добувна промисловість і розроблення кар'єрів,Чоловіки,100
Львівська,Будівництво,Чоловіки,1902
Львівська,"Сільське господарство, лісове господарство та рибне господарство",Чоловіки,1395
Львівська,"Водопостачання; каналізація, поводження з відходами",Чоловіки,148
Львівська,Переробна промисловість,Жінки,684
Львівська,Тимчасове розміщування й організація харчування,Чоловіки,434
Львівська,"Професійна, наукова та технічна діяльність",Жінки,584
Львівська,Надання інших видів послуг,Жінки,3259
Львівська,"Мистецтво, спорт, розваги та відпочинок",Чоловіки,370
Львівська,Діяльність у сфері адміністративного та допоміжного обслуговування,Чоловіки,4095
Львівська,Діяльність домашніх господарств,Чоловіки,6
Львівська,Освіта,Чоловіки,656
Львівська,Операції з нерухомим майном,Чоловіки,1671
Львівська,Операції з нерухомим майном,Жінки,1005
Львівська,Діяльність у сфері адміністративного та допоміжного обслуговування,Жінки,2580
Львівська,Надання інших видів послуг,Чоловіки,9242
Львівська,Державне управління й оборона; обов'язкове соціальне страхування,Чоловіки,784
Львівська,Освіта,Жінки,1716
Львівська,Охорона здоров'я та надання соціальної допомоги,Жінки,1249
Львівська,"Мистецтво, спорт, розваги та відпочинок",Жінки,612
Львівська,Державне управління й оборона; обов'язкове соціальне страхування,Жінки,721
Львівська,"Професійна, наукова та технічна діяльність",Чоловіки,1063
Львівська,Охорона здоров'я та надання соціальної допомоги,Чоловіки,1753
Львівська,Діяльність екстериторіальних організацій і органів,Чоловіки,1
Львівська,Діяльність домашніх господарств,Жінки,7
Миколаївська,Операції з нерухомим майном,Жінки,308
Миколаївська,Будівництво,Жінки,131
Миколаївська,"Мистецтво, спорт, розваги та відпочинок",Жінки,117
Миколаївська,"Сільське господарство, лісове господарство та рибне господарство",Чоловіки,2404
Миколаївська,Будівництво,Чоловіки,488
Миколаївська,"Постачання електроенергії, газу, пари та кондиційованого повітря",Чоловіки,97
Миколаївська,Добувна промисловість і розроблення кар'єрів,Чоловіки,48
Миколаївська,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Чоловіки,453
Миколаївська,Надання інших видів послуг,Жінки,1617
Миколаївська,Освіта,Чоловіки,189
Миколаївська,Охорона здоров'я та надання соціальної допомоги,Чоловіки,514
Миколаївська,"Професійна, наукова та технічна діяльність",Чоловіки,243
Миколаївська,Операції з нерухомим майном,Чоловіки,440
Миколаївська,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Жінки,132
Миколаївська,Освіта,Жінки,1021
Миколаївська,"Професійна, наукова та технічна діяльність",Жінки,185
Миколаївська,"Водопостачання; каналізація, поводження з відходами",Чоловіки,107
Миколаївська,Тимчасове розміщування й організація харчування,Чоловіки,94
Миколаївська,Фінансова та страхова діяльність,Жінки,5
Миколаївська,"Сільське господарство, лісове господарство та рибне господарство",Жінки,757
Миколаївська,Тимчасове розміщування й організація харчування,Жінки,80
Миколаївська,Державне управління й оборона; обов'язкове соціальне страхування,Жінки,586
Миколаївська,Переробна промисловість,Жінки,178
Миколаївська,Діяльність у сфері адміністративного та допоміжного обслуговування,Жінки,1157
Миколаївська,"Постачання електроенергії, газу, пари та кондиційованого повітря",Жінки,14
Миколаївська,Надання інших видів послуг,Чоловіки,2686
Миколаївська,"Мистецтво, спорт, розваги та відпочинок",Чоловіки,83
Миколаївська,Державне управління й оборона; обов'язкове соціальне страхування,Чоловіки,337
Миколаївська,Діяльність у сфері адміністративного та допоміжного обслуговування,Чоловіки,1289
Миколаївська,Фінансова та страхова діяльність,Чоловіки,12
Миколаївська,Інформація та телекомунікації,Чоловіки,109
Миколаївська,Інформація та телекомунікації,Жінки,72
Миколаївська,"Водопостачання; каналізація, поводження з відходами",Жінки,36
Миколаївська,Добувна промисловість і розроблення кар'єрів,Жінки,4
Миколаївська,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Чоловіки,1168
Миколаївська,Переробна промисловість,Чоловіки,576
Миколаївська,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Жінки,599
Миколаївська,Охорона здоров'я та надання соціальної допомоги,Жінки,464
Одеська,"Водопостачання; каналізація, поводження з відходами",Жінки,51
Одеська,Фінансова та страхова діяльність,Жінки,42
Одеська,Охорона здоров'я та надання соціальної допомоги,Жінки,1098
Одеська,"Мистецтво, спорт, розваги та відпочинок",Жінки,187
Одеська,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Чоловіки,1632
Одеська,Операції з нерухомим майном,Жінки,1125
Одеська,Освіта,Чоловіки,387
Одеська,Переробна промисловість,Чоловіки,1297
Одеська,Діяльність домашніх господарств,Чоловіки,1
Одеська,Операції з нерухомим майном,Чоловіки,1453
Одеська,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Чоловіки,3112
Одеська,"Постачання електроенергії, газу, пари та кондиційованого повітря",Чоловіки,130
Одеська,Фінансова та страхова діяльність,Чоловіки,63
Одеська,Надання інших видів послуг,Чоловіки,6354
Одеська,Державне управління й оборона; обов'язкове соціальне страхування,Чоловіки,655
Одеська,Переробна промисловість,Жінки,428
Одеська,Інформація та телекомунікації,Жінки,269
Одеська,Державне управління й оборона; обов'язкове соціальне страхування,Жінки,1071
Одеська,Діяльність домашніх господарств,Жінки,2
Одеська,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Жінки,602
Одеська,Діяльність у сфері адміністративного та допоміжного обслуговування,Жінки,2172
Одеська,Надання інших видів послуг,Жінки,3235
Одеська,"Професійна, наукова та технічна діяльність",Жінки,633
Одеська,"Сільське господарство, лісове господарство та рибне господарство",Жінки,621
Одеська,Добувна промисловість і розроблення кар'єрів,Жінки,6
Одеська,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Жінки,1577
Одеська,Тимчасове розміщування й організація харчування,Чоловіки,291
Одеська,Інформація та телекомунікації,Чоловіки,432
Одеська,Тимчасове розміщування й організація харчування,Жінки,275
Одеська,Добувна промисловість і розроблення кар'єрів,Чоловіки,24
Одеська,Охорона здоров'я та надання соціальної допомоги,Чоловіки,1376
Одеська,"Сільське господарство, лісове господарство та рибне господарство",Чоловіки,2390
Одеська,"Професійна, наукова та технічна діяльність",Чоловіки,870
Одеська,Будівництво,Жінки,380
Одеська,Будівництво,Чоловіки,1463
Одеська,"Водопостачання; каналізація, поводження з відходами",Чоловіки,213
Одеська,"Мистецтво, спорт, розваги та відпочинок",Чоловіки,260
Одеська,Діяльність у сфері адміністративного та допоміжного обслуговування,Чоловіки,2588
Одеська,Діяльність екстериторіальних організацій і органів,Чоловіки,1
Одеська,Освіта,Жінки,1480
Одеська,"Постачання електроенергії, газу, пари та кондиційованого повітря",Жінки,31
Полтавська,Переробна промисловість,Жінки,276
Полтавська,Тимчасове розміщування й організація харчування,Жінки,85
Полтавська,Операції з нерухомим майном,Чоловіки,539
Полтавська,Інформація та телекомунікації,Чоловіки,192
Полтавська,"Постачання електроенергії, газу, пари та кондиційованого повітря",Жінки,12
Полтавська,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Чоловіки,410
Полтавська,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Жінки,146
Полтавська,"Сільське господарство, лісове господарство та рибне господарство",Чоловіки,2346
Полтавська,Добувна промисловість і розроблення кар'єрів,Чоловіки,63
Полтавська,"Водопостачання; каналізація, поводження з відходами",Чоловіки,124
Полтавська,Будівництво,Чоловіки,686
Полтавська,"Професійна, наукова та технічна діяльність",Чоловіки,344
Полтавська,"Сільське господарство, лісове господарство та рибне господарство",Жінки,523
Полтавська,Тимчасове розміщування й організація харчування,Чоловіки,81
Полтавська,Фінансова та страхова діяльність,Жінки,17
Полтавська,Будівництво,Жінки,170
Полтавська,Операції з нерухомим майном,Жінки,365
Полтавська,"Професійна, наукова та технічна діяльність",Жінки,226
Полтавська,"Водопостачання; каналізація, поводження з відходами",Жінки,24
Полтавська,"Постачання електроенергії, газу, пари та кондиційованого повітря",Чоловіки,69
Полтавська,Добувна промисловість і розроблення кар'єрів,Жінки,14
Полтавська,Переробна промисловість,Чоловіки,939
Полтавська,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Чоловіки,1652
Полтавська,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Жінки,734
Полтавська,Інформація та телекомунікації,Жінки,122
Полтавська,Фінансова та страхова діяльність,Чоловіки,33
Полтавська,Державне управління й оборона; обов'язкове соціальне страхування,Жінки,820
Полтавська,Охорона здоров'я та надання соціальної допомоги,Чоловіки,512
Полтавська,Надання інших видів послуг,Чоловіки,3634
Полтавська,"Мистецтво, спорт, розваги та відпочинок",Чоловіки,106
Полтавська,Діяльність у сфері адміністративного та допоміжного обслуговування,Чоловіки,1376
Полтавська,Освіта,Чоловіки,330
Полтавська,Діяльність у сфері адміністративного та допоміжного обслуговування,Жінки,927
Полтавська,Освіта,Жінки,1069
Полтавська,"Мистецтво, спорт, розваги та відпочинок",Жінки,164
Полтавська,Надання інших видів послуг,Жінки,1786
Полтавська,Державне управління й оборона; обов'язкове соціальне страхування,Чоловіки,588
Полтавська,Охорона здоров'я та надання соціальної допомоги,Жінки,410
Рівненська,Діяльність у сфері адміністративного та допоміжного обслуговування,Жінки,816
Рівненська,Надання інших видів послуг,Чоловіки,3422
Рівненська,Діяльність домашніх господарств,Чоловіки,2
Рівненська,Тимчасове розміщування й організація харчування,Жінки,39
Рівненська,Державне управління й оборона; обов'язкове соціальне страхування,Чоловіки,351
Рівненська,Охорона здоров'я та надання соціальної допомоги,Чоловіки,508
Рівненська,"Професійна, наукова та технічна діяльність",Чоловіки,268
Рівненська,Переробна промисловість,Жінки,220
Рівненська,Добувна промисловість і розроблення кар'єрів,Жінки,16
Рівненська,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Жінки,137
Рівненська,"Професійна, наукова та технічна діяльність",Жінки,179
Рівненська,"Сільське господарство, лісове господарство та рибне господарство",Чоловіки,704
Рівненська,"Постачання електроенергії, газу, пари та кондиційованого повітря",Чоловіки,63
Рівненська,Інформація та телекомунікації,Жінки,56
Рівненська,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Жінки,429
Рівненська,Тимчасове розміщування й організація харчування,Чоловіки,43
Рівненська,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Чоловіки,383
Рівненська,"Водопостачання; каналізація, поводження з відходами",Чоловіки,59
Рівненська,Операції з нерухомим майном,Чоловіки,463
Рівненська,Освіта,Чоловіки,270
Рівненська,Державне управління й оборона; обов'язкове соціальне страхування,Жінки,570
Рівненська,"Водопостачання; каналізація, поводження з відходами",Жінки,12
Рівненська,Охорона здоров'я та надання соціальної допомоги,Жінки,330
Рівненська,Операції з нерухомим майном,Жінки,250
Рівненська,"Мистецтво, спорт, розваги та відпочинок",Жінки,162
Рівненська,Надання інших видів послуг,Жінки,1291
Рівненська,Добувна промисловість і розроблення кар'єрів,Чоловіки,70
Рівненська,Переробна промисловість,Чоловіки,702
Рівненська,Інформація та телекомунікації,Чоловіки,136
Рівненська,Фінансова та страхова діяльність,Чоловіки,11
Рівненська,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Чоловіки,1011
Рівненська,Будівництво,Чоловіки,498
Рівненська,"Постачання електроенергії, газу, пари та кондиційованого повітря",Жінки,9
Рівненська,"Сільське господарство, лісове господарство та рибне господарство",Жінки,130
Рівненська,Діяльність у сфері адміністративного та допоміжного обслуговування,Чоловіки,1049
Рівненська,"Мистецтво, спорт, розваги та відпочинок",Чоловіки,87
Рівненська,Будівництво,Жінки,87
Рівненська,Фінансова та страхова діяльність,Жінки,13
Рівненська,Освіта,Жінки,874
Сумська,Переробна промисловість,Жінки,159
Сумська,Освіта,Жінки,637
Сумська,"Постачання електроенергії, газу, пари та кондиційованого повітря",Жінки,6
Сумська,Інформація та телекомунікації,Жінки,73
Сумська,Тимчасове розміщування й організація харчування,Жінки,75
Сумська,Державне управління й оборона; обов'язкове соціальне страхування,Жінки,545
Сумська,Фінансова та страхова діяльність,Жінки,9
Сумська,Переробна промисловість,Чоловіки,548
Сумська,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Жінки,44
Сумська,Державне управління й оборона; обов'язкове соціальне страхування,Чоловіки,349
Сумська,"Постачання електроенергії, газу, пари та кондиційованого повітря",Чоловіки,49
Сумська,Операції з нерухомим майном,Чоловіки,320
Сумська,Фінансова та страхова діяльність,Чоловіки,6
Сумська,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Чоловіки,156
Сумська,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Чоловіки,791
Сумська,Освіта,Чоловіки,189
Сумська,Надання інших видів послуг,Чоловіки,2803
Сумська,"Мистецтво, спорт, розваги та відпочинок",Жінки,116
Сумська,Будівництво,Жінки,76
Сумська,"Сільське господарство, лісове господарство та рибне господарство",Жінки,213
Сумська,Надання інших видів послуг,Жінки,1184
Сумська,"Професійна, наукова та технічна діяльність",Жінки,119
Сумська,Будівництво,Чоловіки,310
Сумська,"Водопостачання; каналізація, поводження з відходами",Чоловіки,74
Сумська,Добувна промисловість і розроблення кар'єрів,Жінки,3
Сумська,Охорона здоров'я та надання соціальної допомоги,Жінки,306
Сумська,Діяльність у сфері адміністративного та допоміжного обслуговування,Жінки,492
Сумська,"Професійна, наукова та технічна діяльність",Чоловіки,179
Сумська,Охорона здоров'я та надання соціальної допомоги,Чоловіки,380
Сумська,Добувна промисловість і розроблення кар'єрів,Чоловіки,13
Сумська,Інформація та телекомунікації,Чоловіки,100
Сумська,Тимчасове розміщування й організація харчування,Чоловіки,70
Сумська,"Сільське господарство, лісове господарство та рибне господарство",Чоловіки,1021
Сумська,"Водопостачання; каналізація, поводження з відходами",Жінки,31
Сумська,"Мистецтво, спорт, розваги та відпочинок",Чоловіки,62
Сумська,Діяльність у сфері адміністративного та допоміжного обслуговування,Чоловіки,695
Сумська,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Жінки,362
Сумська,Операції з нерухомим майном,Жінки,266
Тернопільська,Тимчасове розміщування й організація харчування,Жінки,45
Тернопільська,Переробна промисловість,Жінки,135
Тернопільська,"Постачання електроенергії, газу, пари та кондиційованого повітря",Чоловіки,73
Тернопільська,Добувна промисловість і розроблення кар'єрів,Чоловіки,57
Тернопільська,Будівництво,Чоловіки,357
Тернопільська,Добувна промисловість і розроблення кар'єрів,Жінки,7
Тернопільська,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Жінки,63
Тернопільська,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Чоловіки,721
Тернопільська,"Водопостачання; каналізація, поводження з відходами",Жінки,30
Тернопільська,Державне управління й оборона; обов'язкове соціальне страхування,Жінки,549
Тернопільська,Інформація та телекомунікації,Жінки,63
Тернопільська,Переробна промисловість,Чоловіки,577
Тернопільська,Фінансова та страхова діяльність,Чоловіки,10
Тернопільська,"Сільське господарство, лісове господарство та рибне господарство",Жінки,164
Тернопільська,Будівництво,Жінки,95
Тернопільська,Операції з нерухомим майном,Жінки,159
Тернопільська,Діяльність у сфері адміністративного та допоміжного обслуговування,Чоловіки,1409
Тернопільська,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Жінки,262
Тернопільська,Інформація та телекомунікації,Чоловіки,101
Тернопільська,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Чоловіки,293
Тернопільська,Операції з нерухомим майном,Чоловіки,312
Тернопільська,"Професійна, наукова та технічна діяльність",Жінки,89
Тернопільська,"Водопостачання; каналізація, поводження з відходами",Чоловіки,95
Тернопільська,Діяльність у сфері адміністративного та допоміжного обслуговування,Жінки,974
Тернопільська,Фінансова та страхова діяльність,Жінки,8
Тернопільська,"Постачання електроенергії, газу, пари та кондиційованого повітря",Жінки,21
Тернопільська,"Професійна, наукова та технічна діяльність",Чоловіки,198
Тернопільська,Тимчасове розміщування й організація харчування,Чоловіки,38
Тернопільська,"Сільське господарство, лісове господарство та рибне господарство",Чоловіки,920
Тернопільська,Охорона здоров'я та надання соціальної допомоги,Жінки,290
Тернопільська,Надання інших видів послуг,Чоловіки,3585
Тернопільська,Державне управління й оборона; обов'язкове соціальне страхування,Чоловіки,398
Тернопільська,"Мистецтво, спорт, розваги та відпочинок",Жінки,124
Тернопільська,Надання інших видів послуг,Жінки,962
Тернопільська,Освіта,Чоловіки,316
Тернопільська,"Мистецтво, спорт, розваги та відпочинок",Чоловіки,123
Тернопільська,Освіта,Жінки,1028
Тернопільська,Охорона здоров'я та надання соціальної допомоги,Чоловіки,566
Харківська,"Сільське господарство, лісове господарство та рибне господарство",Жінки,378
Харківська,"Сільське господарство, лісове господарство та рибне господарство",Чоловіки,1428
Харківська,Діяльність у сфері адміністративного та допоміжного обслуговування,Жінки,1827
Харківська,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Жінки,1644
Харківська,Надання інших видів послуг,Жінки,2767
Харківська,Добувна промисловість і розроблення кар'єрів,Жінки,2
Харківська,"Професійна, наукова та технічна діяльність",Жінки,677
Харківська,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Жінки,215
Харківська,Тимчасове розміщування й організація харчування,Жінки,171
Харківська,Будівництво,Жінки,246
Харківська,"Мистецтво, спорт, розваги та відпочинок",Жінки,194
Харківська,Фінансова та страхова діяльність,Жінки,58
Харківська,Надання інших видів послуг,Чоловіки,5000
Харківська,Освіта,Жінки,1424
Харківська,Переробна промисловість,Чоловіки,2353
Харківська,Фінансова та страхова діяльність,Чоловіки,89
Харківська,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Чоловіки,3923
Харківська,Державне управління й оборона; обов'язкове соціальне страхування,Чоловіки,567
Харківська,Охорона здоров'я та надання соціальної допомоги,Жінки,932
Харківська,"Постачання електроенергії, газу, пари та кондиційованого повітря",Жінки,37
Харківська,Операції з нерухомим майном,Чоловіки,1720
Харківська,"Постачання електроенергії, газу, пари та кондиційованого повітря",Чоловіки,112
Харківська,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Чоловіки,498
Харківська,Інформація та телекомунікації,Чоловіки,696
Харківська,Будівництво,Чоловіки,1167
Харківська,Добувна промисловість і розроблення кар'єрів,Чоловіки,35
Харківська,"Мистецтво, спорт, розваги та відпочинок",Чоловіки,178
Харківська,Освіта,Чоловіки,369
Харківська,Діяльність у сфері адміністративного та допоміжного обслуговування,Чоловіки,2704
Харківська,Операції з нерухомим майном,Жінки,1035
Харківська,Державне управління й оборона; обов'язкове соціальне страхування,Жінки,793
Харківська,Переробна промисловість,Жінки,749
Харківська,Інформація та телекомунікації,Жінки,286
Харківська,"Водопостачання; каналізація, поводження з відходами",Чоловіки,128
Харківська,Тимчасове розміщування й організація харчування,Чоловіки,154
Харківська,"Водопостачання; каналізація, поводження з відходами",Жінки,38
Харківська,Охорона здоров'я та надання соціальної допомоги,Чоловіки,1309
Харківська,"Професійна, наукова та технічна діяльність",Чоловіки,996
Херсонська,Фінансова та страхова діяльність,Чоловіки,9
Херсонська,Операції з нерухомим майном,Чоловіки,117
Херсонська,Інформація та телекомунікації,Чоловіки,46
Херсонська,Тимчасове розміщування й організація харчування,Чоловіки,19
Херсонська,Діяльність у сфері адміністративного та допоміжного обслуговування,Жінки,1105
Херсонська,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Чоловіки,247
Херсонська,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Жінки,29
Херсонська,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Чоловіки,99
Херсонська,Освіта,Чоловіки,184
Херсонська,Державне управління й оборона; обов'язкове соціальне страхування,Чоловіки,489
Херсонська,Діяльність у сфері адміністративного та допоміжного обслуговування,Чоловіки,853
Херсонська,"Професійна, наукова та технічна діяльність",Чоловіки,112
Херсонська,"Мистецтво, спорт, розваги та відпочинок",Чоловіки,74
Херсонська,"Постачання електроенергії, газу, пари та кондиційованого повітря",Чоловіки,27
Херсонська,Переробна промисловість,Чоловіки,127
Херсонська,Надання інших видів послуг,Чоловіки,2293
Херсонська,Охорона здоров'я та надання соціальної допомоги,Чоловіки,262
Херсонська,Будівництво,Чоловіки,111
Херсонська,"Водопостачання; каналізація, поводження з відходами",Чоловіки,51
Херсонська,Добувна промисловість і розроблення кар'єрів,Чоловіки,4
Херсонська,"Сільське господарство, лісове господарство та рибне господарство",Чоловіки,278
Херсонська,Операції з нерухомим майном,Жінки,61
Херсонська,Тимчасове розміщування й організація харчування,Жінки,17
Херсонська,Надання інших видів послуг,Жінки,1148
Херсонська,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Жінки,130
Херсонська,Добувна промисловість і розроблення кар'єрів,Жінки,1
Херсонська,Фінансова та страхова діяльність,Жінки,4
Херсонська,Охорона здоров'я та надання соціальної допомоги,Жінки,296
Херсонська,"Постачання електроенергії, газу, пари та кондиційованого повітря",Жінки,13
Херсонська,Інформація та телекомунікації,Жінки,20
Херсонська,Освіта,Жінки,878
Херсонська,"Водопостачання; каналізація, поводження з відходами",Жінки,16
Херсонська,Державне управління й оборона; обов'язкове соціальне страхування,Жінки,719
Херсонська,Будівництво,Жінки,33
Херсонська,Переробна промисловість,Жінки,36
Херсонська,"Сільське господарство, лісове господарство та рибне господарство",Жінки,73
Херсонська,"Мистецтво, спорт, розваги та відпочинок",Жінки,231
Херсонська,"Професійна, наукова та технічна діяльність",Жінки,97
Хмельницька,Інформація та телекомунікації,Чоловіки,151
Хмельницька,Операції з нерухомим майном,Чоловіки,453
Хмельницька,"Професійна, наукова та технічна діяльність",Чоловіки,255
Хмельницька,Фінансова та страхова діяльність,Чоловіки,19
Хмельницька,Тимчасове розміщування й організація харчування,Чоловіки,79
Хмельницька,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Чоловіки,271
Хмельницька,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Чоловіки,1113
Хмельницька,Діяльність у сфері адміністративного та допоміжного обслуговування,Чоловіки,1777
Хмельницька,Інформація та телекомунікації,Жінки,67
Хмельницька,Переробна промисловість,Чоловіки,805
Хмельницька,"Сільське господарство, лісове господарство та рибне господарство",Чоловіки,1454
Хмельницька,Освіта,Чоловіки,334
Хмельницька,Державне управління й оборона; обов'язкове соціальне страхування,Чоловіки,542
Хмельницька,Добувна промисловість і розроблення кар'єрів,Чоловіки,53
Хмельницька,Будівництво,Чоловіки,630
Хмельницька,"Водопостачання; каналізація, поводження з відходами",Чоловіки,66
Хмельницька,"Постачання електроенергії, газу, пари та кондиційованого повітря",Чоловіки,125
Хмельницька,Освіта,Жінки,1153
Хмельницька,Фінансова та страхова діяльність,Жінки,12
Хмельницька,Добувна промисловість і розроблення кар'єрів,Жінки,7
Хмельницька,Тимчасове розміщування й організація харчування,Жінки,73
Хмельницька,Діяльність у сфері адміністративного та допоміжного обслуговування,Жінки,946
Хмельницька,"Постачання електроенергії, газу, пари та кондиційованого повітря",Жінки,34
Хмельницька,"Професійна, наукова та технічна діяльність",Жінки,149
Хмельницька,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Жінки,536
Хмельницька,Будівництво,Жінки,138
Хмельницька,"Сільське господарство, лісове господарство та рибне господарство",Жінки,324
Хмельницька,Операції з нерухомим майном,Жінки,304
Хмельницька,"Водопостачання; каналізація, поводження з відходами",Жінки,14
Хмельницька,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Жінки,103
Хмельницька,Державне управління й оборона; обов'язкове соціальне страхування,Жінки,683
Хмельницька,Переробна промисловість,Жінки,234
Хмельницька,"Мистецтво, спорт, розваги та відпочинок",Чоловіки,87
Хмельницька,Охорона здоров'я та надання соціальної допомоги,Чоловіки,537
Хмельницька,Надання інших видів послуг,Чоловіки,3648
Хмельницька,Охорона здоров'я та надання соціальної допомоги,Жінки,390
Хмельницька,Надання інших видів послуг,Жінки,1490
Хмельницька,"Мистецтво, спорт, розваги та відпочинок",Жінки,126
Черкаська,Добувна промисловість і розроблення кар'єрів,Чоловіки,24
Черкаська,"Сільське господарство, лісове господарство та рибне господарство",Чоловіки,1856
Черкаська,"Сільське господарство, лісове господарство та рибне господарство",Жінки,439
Черкаська,Добувна промисловість і розроблення кар'єрів,Жінки,2
Черкаська,Переробна промисловість,Жінки,275
Черкаська,"Постачання електроенергії, газу, пари та кондиційованого повітря",Жінки,34
Черкаська,Охорона здоров'я та надання соціальної допомоги,Жінки,395
Черкаська,Будівництво,Жінки,143
Черкаська,Тимчасове розміщування й організація харчування,Жінки,62
Черкаська,"Мистецтво, спорт, розваги та відпочинок",Жінки,159
Черкаська,Надання інших видів послуг,Чоловіки,3174
Черкаська,Державне управління й оборона; обов'язкове соціальне страхування,Чоловіки,677
Черкаська,Фінансова та страхова діяльність,Жінки,18
Черкаська,Освіта,Жінки,883
Черкаська,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Чоловіки,372
Черкаська,Інформація та телекомунікації,Чоловіки,171
Черкаська,Будівництво,Чоловіки,556
Черкаська,Фінансова та страхова діяльність,Чоловіки,25
Черкаська,Тимчасове розміщування й організація харчування,Чоловіки,63
Черкаська,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Чоловіки,1327
Черкаська,"Водопостачання; каналізація, поводження з відходами",Чоловіки,94
Черкаська,"Постачання електроенергії, газу, пари та кондиційованого повітря",Чоловіки,112
Черкаська,Переробна промисловість,Чоловіки,884
Черкаська,"Мистецтво, спорт, розваги та відпочинок",Чоловіки,95
Черкаська,Надання інших видів послуг,Жінки,1424
Черкаська,Освіта,Чоловіки,246
Черкаська,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Жінки,540
Черкаська,Діяльність у сфері адміністративного та допоміжного обслуговування,Чоловіки,1344
Черкаська,Діяльність у сфері адміністративного та допоміжного обслуговування,Жінки,883
Черкаська,Операції з нерухомим майном,Чоловіки,487
Черкаська,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Жінки,141
Черкаська,"Професійна, наукова та технічна діяльність",Жінки,168
Черкаська,Операції з нерухомим майном,Жінки,317
Черкаська,Державне управління й оборона; обов'язкове соціальне страхування,Жінки,960
Черкаська,Інформація та телекомунікації,Жінки,94
Черкаська,Охорона здоров'я та надання соціальної допомоги,Чоловіки,540
Черкаська,"Професійна, наукова та технічна діяльність",Чоловіки,264
Черкаська,"Водопостачання; каналізація, поводження з відходами",Жінки,13
Чернівецька,Добувна промисловість і розроблення кар'єрів,Жінки,5
Чернівецька,Діяльність у сфері адміністративного та допоміжного обслуговування,Жінки,479
